source,country,club_slug,method,dest_logo,dest_badge,size,sha256,converted_svg_to_png
ESP_GIR.png,spain,girona,ESP_GIR,assets/clubs/spain/girona/logo.png,assets/clubs/spain/girona/badge.png,38258,71050f66a592ad75ba719b53c2328d5dcb868d9882ee217633c2ae779049c8dd,False
ESP_VIL.png,spain,villarreal,ESP_VIL,assets/clubs/spain/villarreal/logo.png,assets/clubs/spain/villarreal/badge.png,37798,42507279c092618adaa8300e57652cdc1edf10cd4d8997bb0c1445ff98d79822,False
ENG_ARS.png,england,arsenal,ENG_ARS,assets/clubs/england/arsenal/logo.png,assets/clubs/england/arsenal/badge.png,34618,e78ffd37b2224716c75c3498d67e566c4e216e7c38a7da174c7def17167dbe17,False
ARG_BEL.png,argentina,belgrano,ARG_BEL,assets/clubs/argentina/belgrano/logo.png,assets/clubs/argentina/belgrano/badge.png,38421,6520ca477c7d276c38a200a67e70c277e1a3711184a212f15b474dbbdd3eee14,False
ESP_BET.png,spain,real-betis,ESP_BET,assets/clubs/spain/real-betis/logo.png,assets/clubs/spain/real-betis/badge.png,21701,dba4a91d902156b02b25889eaab5e324f41552c91168ed28abf1ad86a8ab1360,False
ESP_OVI.png,spain,real-oviedo,ESP_OVI,assets/clubs/spain/real-oviedo/logo.png,assets/clubs/spain/real-oviedo/badge.png,15876,ad9eb8b4953942d1050095bdd4780f4a0ec40c3e271e89b95b487a3d308b9253,False
germany_wolfsburg_512x512.football-logos.cc.png,germany,wolfsburg,football-logos.cc filename,assets/clubs/germany/wolfsburg/logo.png,assets/clubs/germany/wolfsburg/badge.png,19873,1a36303c291f6333165268f6737bd0716d57adcd9fc531b50424db98beb7b078,False
FOR.png,brazil,fortaleza,BRA_FOR,assets/clubs/brazil/fortaleza/logo.png,assets/clubs/brazil/fortaleza/badge.png,48922,69e99caa74f9f798c2c62d1ad6720e32ab379f8f9cc19d7ccc2a5fe47a432516,False
GER_STU.png,germany,stuttgart,GER_STU,assets/clubs/germany/stuttgart/logo.png,assets/clubs/germany/stuttgart/badge.png,42608,2400f47fa1d0c8386bfbde090e1f3c8da2609354792f7062747b0718bce0afb0,False
ECU_EME.png,ecuador,emelec,ECU_EME,assets/clubs/ecuador/emelec/logo.png,assets/clubs/ecuador/emelec/badge.png,29810,4958769497bbde0d7a71739d3edea66c68947f4f2a774588bdb7bb5473a75e25,False
ECU_IDV.png,ecuador,independiente-del-valle,ECU_IDV,assets/clubs/ecuador/independiente-del-valle/logo.png,assets/clubs/ecuador/independiente-del-valle/badge.png,39572,13eb88d1aed384a7ed7fda88927fdeb1fb8a028b736a01d2b4c2065cb540194d,False
CRU.png,brazil,cruzeiro,BRA_CRU,assets/clubs/brazil/cruzeiro/logo.png,assets/clubs/brazil/cruzeiro/badge.png,365628,bd05cf63ced269eaa4a9500e774cbc480b5263abb13521ee829033ad6feeee13,False
ESP_VAL.png,spain,valencia,ESP_VAL,assets/clubs/spain/valencia/logo.png,assets/clubs/spain/valencia/badge.png,23475,4bfee488e79ef790c83ca02d451444974849799a0416b0edbded7e4b2ceb8acc,False
goias.svg,brazil,goias,named-file,assets/clubs/brazil/goias/logo.png,assets/clubs/brazil/goias/badge.png,682,6b5736da6c2109474650a459fb45e6c7ab6a63158c9a95c9b12aa556cb536bc3,True
SPT.png,brazil,sport,BRA_SPT,assets/clubs/brazil/sport/logo.png,assets/clubs/brazil/sport/badge.png,98629,0a353515841dcfd2708bec4e02b5f6d2c77a9f23244b512ac2083a948e02020b,False
